Month,Month Key,Sales Rep,New Leads,Opportunities,Won Deals,Won Revenue,Revenue Target,Win Rate,Sales Cycle Days
2024-01-01,2024-01,Ayşe Demir,247,58,16,269000,365000,0.27586206896551724,56
2024-01-01,2024-01,Emre Kaya,241,59,19,336000,333000,0.3220338983050847,54
2024-01-01,2024-01,Selin Yılmaz,220,55,18,333000,317000,0.32727272727272727,53
2024-01-01,2024-01,Can Arslan,192,50,17,328000,301000,0.34,51
2024-01-01,2024-01,Deniz Koç,175,47,16,322000,269000,0.3404255319148936,49
2024-02-01,2024-02,Ayşe Demir,279,66,19,318000,375000,0.2878787878787879,57
2024-02-01,2024-02,Emre Kaya,252,61,19,334000,342000,0.3114754098360656,55
2024-02-01,2024-02,Selin Yılmaz,220,55,18,331000,326000,0.32727272727272727,54
2024-02-01,2024-02,Can Arslan,204,53,17,326000,310000,0.32075471698113206,52
2024-02-01,2024-02,Deniz Koç,199,53,17,340000,277000,0.32075471698113206,50
2024-03-01,2024-03,Ayşe Demir,286,67,20,331000,394000,0.29850746268656714,58
2024-03-01,2024-03,Emre Kaya,241,59,19,330000,360000,0.3220338983050847,56
2024-03-01,2024-03,Selin Yılmaz,218,55,18,327000,343000,0.32727272727272727,55
2024-03-01,2024-03,Can Arslan,221,57,18,342000,325000,0.3157894736842105,53
2024-03-01,2024-03,Deniz Koç,212,57,19,376000,291000,0.3333333333333333,51
2024-04-01,2024-04,Ayşe Demir,277,65,19,311000,405000,0.2923076923076923,59
2024-04-01,2024-04,Emre Kaya,234,57,18,309000,370000,0.3157894736842105,57
2024-04-01,2024-04,Selin Yılmaz,231,58,18,324000,352000,0.3103448275862069,56
2024-04-01,2024-04,Can Arslan,239,62,20,376000,335000,0.3225806451612903,54
2024-04-01,2024-04,Deniz Koç,213,57,19,372000,300000,0.3333333333333333,52
2024-05-01,2024-05,Ayşe Demir,279,66,20,324000,412000,0.30303030303030304,59
2024-05-01,2024-05,Emre Kaya,254,62,19,323000,376000,0.3064516129032258,57
2024-05-01,2024-05,Selin Yılmaz,265,67,21,373000,358000,0.31343283582089554,56
2024-05-01,2024-05,Can Arslan,259,67,21,390000,340000,0.31343283582089554,54
2024-05-01,2024-05,Deniz Koç,215,57,19,368000,305000,0.3333333333333333,52
2024-06-01,2024-06,Ayşe Demir,265,62,19,304000,388000,0.3064516129032258,58
2024-06-01,2024-06,Emre Kaya,261,63,19,319000,355000,0.30158730158730157,56
2024-06-01,2024-06,Selin Yılmaz,264,66,20,351000,338000,0.30303030303030304,55
2024-06-01,2024-06,Can Arslan,238,62,19,349000,321000,0.3064516129032258,53
2024-06-01,2024-06,Deniz Koç,196,52,17,325000,287000,0.3269230769230769,51
2024-07-01,2024-07,Ayşe Demir,249,59,18,288000,366000,0.3050847457627119,58
2024-07-01,2024-07,Emre Kaya,247,60,18,302000,334000,0.3,56
2024-07-01,2024-07,Selin Yılmaz,230,58,17,299000,318000,0.29310344827586204,55
2024-07-01,2024-07,Can Arslan,200,52,16,294000,302000,0.3076923076923077,53
2024-07-01,2024-07,Deniz Koç,177,47,16,306000,270000,0.3404255319148936,51
2024-08-01,2024-08,Ayşe Demir,273,64,19,304000,374000,0.296875,56
2024-08-01,2024-08,Emre Kaya,252,61,18,302000,341000,0.29508196721311475,54
2024-08-01,2024-08,Selin Yılmaz,221,55,16,281000,325000,0.2909090909090909,53
2024-08-01,2024-08,Can Arslan,201,52,16,294000,309000,0.3076923076923077,51
2024-08-01,2024-08,Deniz Koç,193,52,18,345000,276000,0.34615384615384615,49
2024-09-01,2024-09,Ayşe Demir,316,74,21,338000,406000,0.28378378378378377,55
2024-09-01,2024-09,Emre Kaya,270,66,19,321000,371000,0.2878787878787879,53
2024-09-01,2024-09,Selin Yılmaz,239,60,18,318000,353000,0.3,52
2024-09-01,2024-09,Can Arslan,238,62,20,369000,335000,0.3225806451612903,50
2024-09-01,2024-09,Deniz Koç,231,62,22,424000,300000,0.3548387096774194,48
2024-10-01,2024-10,Ayşe Demir,314,74,21,342000,430000,0.28378378378378377,54
2024-10-01,2024-10,Emre Kaya,262,64,18,307000,393000,0.28125,52
2024-10-01,2024-10,Selin Yılmaz,252,63,19,340000,374000,0.30158730158730157,51
2024-10-01,2024-10,Can Arslan,262,68,22,411000,355000,0.3235294117647059,49
2024-10-01,2024-10,Deniz Koç,239,64,23,448000,318000,0.359375,47
2024-11-01,2024-11,Ayşe Demir,292,69,19,313000,451000,0.2753623188405797,53
2024-11-01,2024-11,Emre Kaya,259,63,18,311000,411000,0.2857142857142857,51
2024-11-01,2024-11,Selin Yılmaz,268,67,20,362000,392000,0.29850746268656714,49
2024-11-01,2024-11,Can Arslan,268,69,23,434000,372000,0.3333333333333333,48
2024-11-01,2024-11,Deniz Koç,226,60,22,433000,333000,0.36666666666666664,46
2024-12-01,2024-12,Ayşe Demir,302,71,19,316000,475000,0.2676056338028169,53
2024-12-01,2024-12,Emre Kaya,293,71,20,349000,434000,0.28169014084507044,51
2024-12-01,2024-12,Selin Yılmaz,301,76,23,420000,413000,0.3026315789473684,49
2024-12-01,2024-12,Can Arslan,277,72,24,458000,393000,0.3333333333333333,48
2024-12-01,2024-12,Deniz Koç,227,61,22,438000,351000,0.36065573770491804,46
2025-01-01,2025-01,Ayşe Demir,275,65,17,307000,437000,0.26153846153846155,50
2025-01-01,2025-01,Emre Kaya,274,67,19,359000,399000,0.2835820895522388,48
2025-01-01,2025-01,Selin Yılmaz,262,66,20,396000,380000,0.30303030303030304,46
2025-01-01,2025-01,Can Arslan,228,59,20,414000,361000,0.3389830508474576,45
2025-01-01,2025-01,Deniz Koç,197,53,19,410000,323000,0.3584905660377358,43
2025-02-01,2025-02,Ayşe Demir,293,69,18,325000,451000,0.2608695652173913,51
2025-02-01,2025-02,Emre Kaya,278,68,19,359000,412000,0.27941176470588236,49
2025-02-01,2025-02,Selin Yılmaz,246,62,20,396000,393000,0.3225806451612903,47
2025-02-01,2025-02,Can Arslan,219,57,20,414000,373000,0.3508771929824561,46
2025-02-01,2025-02,Deniz Koç,207,55,20,431000,334000,0.36363636363636365,44
2025-03-01,2025-03,Ayşe Demir,316,74,19,341000,478000,0.25675675675675674,52
2025-03-01,2025-03,Emre Kaya,276,67,19,358000,436000,0.2835820895522388,50
2025-03-01,2025-03,Selin Yılmaz,241,60,19,374000,416000,0.31666666666666665,48
2025-03-01,2025-03,Can Arslan,234,61,21,432000,395000,0.3442622950819672,47
2025-03-01,2025-03,Deniz Koç,229,61,22,472000,353000,0.36065573770491804,45
2025-04-01,2025-04,Ayşe Demir,334,78,20,355000,492000,0.2564102564102564,54
2025-04-01,2025-04,Emre Kaya,278,68,20,372000,449000,0.29411764705882354,52
2025-04-01,2025-04,Selin Yılmaz,261,66,22,429000,428000,0.3333333333333333,51
2025-04-01,2025-04,Can Arslan,270,70,25,509000,407000,0.35714285714285715,49
2025-04-01,2025-04,Deniz Koç,252,67,24,510000,364000,0.3582089552238806,47
2025-05-01,2025-05,Ayşe Demir,326,77,20,351000,501000,0.2597402597402597,55
2025-05-01,2025-05,Emre Kaya,283,69,21,387000,458000,0.30434782608695654,53
2025-05-01,2025-05,Selin Yılmaz,289,73,24,463000,436000,0.3287671232876712,52
2025-05-01,2025-05,Can Arslan,294,76,27,544000,414000,0.35526315789473684,50
2025-05-01,2025-05,Deniz Koç,253,68,24,504000,370000,0.35294117647058826,48
2025-06-01,2025-06,Ayşe Demir,284,67,18,313000,473000,0.26865671641791045,56
2025-06-01,2025-06,Emre Kaya,270,66,20,365000,432000,0.30303030303030304,54
2025-06-01,2025-06,Selin Yılmaz,280,70,23,439000,411000,0.32857142857142857,53
2025-06-01,2025-06,Can Arslan,264,68,23,459000,390000,0.3382352941176471,51
2025-06-01,2025-06,Deniz Koç,216,58,20,416000,349000,0.3448275862068966,49
2025-07-01,2025-07,Ayşe Demir,270,63,17,292000,440000,0.2698412698412698,56
2025-07-01,2025-07,Emre Kaya,270,66,20,361000,402000,0.30303030303030304,54
2025-07-01,2025-07,Selin Yılmaz,264,66,22,416000,383000,0.3333333333333333,53
2025-07-01,2025-07,Can Arslan,232,60,20,395000,364000,0.3333333333333333,51
2025-07-01,2025-07,Deniz Koç,196,52,18,370000,325000,0.34615384615384615,49
2025-08-01,2025-08,Ayşe Demir,308,72,20,344000,449000,0.2777777777777778,56
2025-08-01,2025-08,Emre Kaya,298,72,23,415000,410000,0.3194444444444444,54
2025-08-01,2025-08,Selin Yılmaz,269,68,23,434000,391000,0.3382352941176471,53
2025-08-01,2025-08,Can Arslan,235,61,20,395000,371000,0.32786885245901637,51
2025-08-01,2025-08,Deniz Koç,217,58,19,391000,332000,0.3275862068965517,49
2025-09-01,2025-09,Ayşe Demir,348,82,24,415000,489000,0.2926829268292683,55
2025-09-01,2025-09,Emre Kaya,310,75,24,435000,446000,0.32,53
2025-09-01,2025-09,Selin Yılmaz,270,68,22,418000,425000,0.3235294117647059,52
2025-09-01,2025-09,Can Arslan,255,66,22,436000,404000,0.3333333333333333,50
2025-09-01,2025-09,Deniz Koç,249,66,22,455000,361000,0.3333333333333333,48
2025-10-01,2025-10,Ayşe Demir,349,82,24,417000,515000,0.2926829268292683,54
2025-10-01,2025-10,Emre Kaya,292,71,22,401000,470000,0.30985915492957744,52
2025-10-01,2025-10,Selin Yılmaz,267,67,22,420000,447000,0.3283582089552239,51
2025-10-01,2025-10,Can Arslan,273,71,23,459000,425000,0.323943661971831,49
2025-10-01,2025-10,Deniz Koç,260,69,23,478000,380000,0.3333333333333333,47
2025-11-01,2025-11,Ayşe Demir,347,82,24,424000,541000,0.2926829268292683,53
2025-11-01,2025-11,Emre Kaya,295,72,23,426000,494000,0.3194444444444444,51
2025-11-01,2025-11,Selin Yılmaz,295,74,23,446000,471000,0.3108108108108108,49
2025-11-01,2025-11,Can Arslan,304,79,25,506000,447000,0.31645569620253167,48
2025-11-01,2025-11,Deniz Koç,268,72,24,507000,400000,0.3333333333333333,46
2025-12-01,2025-12,Ayşe Demir,351,82,25,446000,571000,0.3048780487804878,51
2025-12-01,2025-12,Emre Kaya,325,79,25,468000,521000,0.31645569620253167,49
2025-12-01,2025-12,Selin Yılmaz,339,85,26,509000,496000,0.3058823529411765,47
2025-12-01,2025-12,Can Arslan,327,85,27,553000,472000,0.3176470588235294,46
2025-12-01,2025-12,Deniz Koç,270,72,24,512000,422000,0.3333333333333333,44
2026-01-01,2026-01,Ayşe Demir,287,67,20,385000,516000,0.29850746268656714,46
2026-01-01,2026-01,Emre Kaya,285,69,21,424000,471000,0.30434782608695654,45
2026-01-01,2026-01,Selin Yılmaz,285,72,22,464000,449000,0.3055555555555556,43
2026-01-01,2026-01,Can Arslan,255,66,21,463000,427000,0.3181818181818182,42
2026-01-01,2026-01,Deniz Koç,211,56,19,437000,382000,0.3392857142857143,40
2026-02-01,2026-02,Ayşe Demir,305,72,21,404000,533000,0.2916666666666667,46
2026-02-01,2026-02,Emre Kaya,300,73,22,444000,487000,0.3013698630136986,45
2026-02-01,2026-02,Selin Yılmaz,276,69,21,443000,464000,0.30434782608695654,43
2026-02-01,2026-02,Can Arslan,240,62,19,419000,441000,0.3064516129032258,42
2026-02-01,2026-02,Deniz Koç,216,58,20,460000,394000,0.3448275862068966,40
2026-03-01,2026-03,Ayşe Demir,356,84,25,481000,567000,0.2976190476190476,46
2026-03-01,2026-03,Emre Kaya,325,79,23,464000,518000,0.2911392405063291,45
2026-03-01,2026-03,Selin Yılmaz,284,71,21,443000,493000,0.29577464788732394,43
2026-03-01,2026-03,Can Arslan,261,68,21,463000,469000,0.3088235294117647,42
2026-03-01,2026-03,Deniz Koç,253,68,24,552000,419000,0.35294117647058826,40
2026-04-01,2026-04,Ayşe Demir,382,90,26,498000,587000,0.28888888888888886,48
2026-04-01,2026-04,Emre Kaya,324,79,23,462000,536000,0.2911392405063291,46
2026-04-01,2026-04,Selin Yılmaz,290,73,21,441000,511000,0.2876712328767123,44
2026-04-01,2026-04,Can Arslan,291,75,24,527000,485000,0.32,43
